batch_id,product_id,supplier_id,batch_number,manufacture_date,expiry_date,quantity_received,quantity_remaining,warehouse_location,quality_status,document_status
B-0266,P-041,S-06,CC-2509-C,2025-09-07,2026-09-06,240,0,A3-D2,,Complete
B-0267,P-012,S-07,SL-2604-C,2026-04-27,2026-07-11,960,660,C2-C4,Passed,Complete
B-0268,P-001,S-08,YD-2506-D,2025-06-03,2025-07-30,360,0,C1-C2,Passed,Complete
B-0269,P-026,S-04,SB-2510-C,2025-10-27,2026-09-30,960,0,A3-C3,Passed,Complete
B-0270,P-018,S-08,NB-2503-D,2025-03-26,2025-10-08,240,0,A1-A2,,Complete
B-0271,P-009,S-04,K3-2501-C,2025-01-23,2025-03-13,120,0,C3-A3,Passed,Incomplete
B-0272,P-010,S-04,IC-2608-C,2026-08-09,2026-10-08,120,114,C1-D4,Passed,
B-0273,P-013,S-11,OM-2504-C,2025-04-21,2025-06-28,960,0,C3-A3,Passed,Complete
B-0274,P-024,S-01,D5-2508-B,2025-08-26,2026-06-20,240,0,F1-D6,Passed,Complete
B-0275,P-006,S-13,C3-2607-A,2026-07-24,2026-09-02,960,782,C1-D2,Passed,Complete
B-0276,P-042,S-06,O7-2604-B,2026-04-09,2027-03-12,240,0,A3-D2,Passed,Complete
B-0277,P-021,S-03,L4-2510-D,2025-10-23,2026-12-20,600,0,F3-D6,Passed,Complete
B-0278,P-024,S-09,D5-2509-D,2025-09-16,2026-09-03,960,0,F2-C4,Passed,Complete
B-0279,P-034,S-04,SC-2502-A,2025-02-28,2026-02-26,240,0,A3-D5,Passed,Complete
B-0280,P-004,S-02,CS-2503-D,2025-03-28,2025-05-02,240,0,C2-C6,Passed,Complete
B-0281,P-034,S-09,SC-2507-A,2025-07-12,2026-07-10,360,0,A3-B5,Passed,Complete
B-0282,P-048,S-08,AB-2505-D,2025-05-03,2026-04-14,960,0,A2-B5,,Complete
B-0283,P-023,S-12,FP-2512-C,2025-12-13,2026-12-13,480,21,F3-C3,,Complete
B-0284,P-026,S-05,SB-2511-A,2025-11-25,2026-07-05,600,0,A3-C5,Passed,Complete
B-0285,P-037,S-06,PS-2510-B,2025-10-11,2026-07-05,360,0,A1-A6,Passed,Complete
B-0286,P-032,S-13,P1-2504-D,2025-04-22,2026-02-18,960,0,A2-D1,Failed,Complete
B-0287,P-042,S-09,O7-2501-A,2025-01-26,2025-12-04,960,0,A1-A6,Passed,Complete
B-0288,P-029,S-07,TM-2606-B,2026-06-15,2026-12-05,240,151,A2-C1,Passed,Complete
B-0289,P-045,S-11,N5-2510-B,2025-10-18,2026-07-18,600,0,A2-D3,Passed,Complete
B-0290,P-008,S-10,OJ-2603-A,2026-03-24,2026-05-21,360,0,C2-B4,Passed,Incomplete
B-0291,P-013,S-01,OM-2506-B,2025-06-23,2025-09-14,960,0,C1-C6,Passed,Complete
B-0292,P-031,S-09,VC-2508-C,2025-08-22,2026-07-27,600,0,A3-A4,Passed,Complete
B-0293,P-003,S-01,B5-2605-A,2026-05-16,2026-07-08,240,166,C2-A1,Passed,Missing
B-0294,P-025,S-08,PT-2507-A,2025-07-14,2026-08-18,960,0,F1-A2,Hold,Complete
B-0295,P-032,S-11,P1-2506-C,2025-06-24,2025-11-25,360,0,A3-C4,Pending,Incomplete
B-0296,P-002,S-02,GY-2510-D,2025-10-28,2025-12-16,240,0,C2-B5,Passed,
B-0297,P-039,S-11,PP-2505-B,2025-05-29,2025-12-17,960,0,A1-D2,Passed,Complete
B-0298,P-011,S-13,SB-2505-C,2025-05-16,2025-07-01,360,0,C3-C2,Passed,Complete
B-0299,P-012,S-04,SL-2607-B,2026-07-05,2026-09-17,360,309,C1-D6,Passed,Complete
